"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C15";"C_0805_2012Metric";1;"22uF";;;
2;"C7,C8,C1,C9,C2,C17,C16,C3";"C_0805_2012Metric";8;"100nF";;;
3;"J3,J2,J1,J6,J4,J5";"RJ45_Amphenol_54602-x08_Horizontal";6;"RJ45";;;
4;"C4,C5,C11,C12,C6,C10";"C_0805_2012Metric";6;"4nF";;;
5;"U6,U11,U12,U5,U4,U10";"SOT-23-5_HandSoldering";6;"74AHC1G08";;;
6;"BOOT1,RESET1";"SW_SPST_Omron_B3FS-100xP";2;"SW_Omron_B3FS";;;
7;"R3";"R_0805_2012Metric";1;"330";;;
8;"TP2,TP1";"TestPoint_Pad_D2.0mm";2;"TestPoint";;;
9;"D1";"LED_0805_2012Metric";1;"LED";;;
10;"U3,U1,U8,U7,U9,U2";"TSSOP-16_4.4x5mm_P0.65mm";6;"SN65LVDS049";;;
11;"C14";"C_0805_2012Metric";1;"10uF";;;
12;"U14";"ESP32-S3-WROOM-1";1;"ESP32-S3-WROOM-1";;;
13;"R1,R2";"R_0805_2012Metric";2;"10k";;;
14;"J8";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Pin";;;
15;"TP3";"TestPoint_Pad_D1.5mm";1;"SCK";;;
16;"TP4";"TestPoint_Pad_D1.5mm";1;"MOSI";;;
17;"J7";"BarrelJack_Kycon_KLDX-0202-xC_Horizontal";1;"Barrel_Jack_Switch";;;
18;"C13";"C_0805_2012Metric";1;"1uF";;;
19;"U13";"SOT-223-3_TabPin2";1;"AZ1117-3.3";;;
